Country,Country-1,Country-2,Country-3,Year,Year-1,Year-2,Year-3,"Access to anti-retroviral drugs, female (%)","Access to anti-retroviral drugs, male (%)","Adolescent fertility rate (births per 1,000 women ages 15-19)","Compulsory education, duration (years)","Contributing family workers, female (% of female employment) (modeled ILO estimate)","Contributing family workers, male (% of male employment) (modeled ILO estimate)","Contributing family workers, total (% of total employment) (modeled ILO estimate)","Employers, female (% of female employment) (modeled ILO estimate)","Employers, male (% of male employment) (modeled ILO estimate)","Employers, total (% of total employment) (modeled ILO estimate)",Employment in agriculture (% of total employment) (modeled ILO estimate),"Employment in agriculture, female (% of female employment) (modeled ILO estimate)","Employment in agriculture, male (% of male employment) (modeled ILO estimate)",Employment in industry (% of total employment) (modeled ILO estimate),"Employment in industry, female (% of female employment) (modeled ILO estimate)","Employment in industry, male (% of male employment) (modeled ILO estimate)",Employment in services (% of total employment) (modeled ILO estimate),"Employment in services, female (% of female employment) (modeled ILO estimate)","Employment in services, male (% of male employment) (modeled ILO estimate)","Employment to population ratio, 15+, female (%) (modeled ILO estimate)","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)","Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)","Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)","Fertility rate, total (births per woman)",GDP per person employed (constant 2021 PPP $),"Government expenditure on education, total (% of GDP)","Incidence of HIV, ages 15-24, female (per 1,000 uninfected female population ages 15-24)","Incidence of HIV, ages 15-24, male (per 1,000 uninfected male population ages 15-24)","Incidence of HIV, ages 15-49, female (per 1,000 uninfected female population ages 15-49)","Incidence of HIV, ages 15-49, male (per 1,000 uninfected male population ages 15-49)","Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)","Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","Labor force, female","Labor force, female (% of total labor force)","Labor force, total","Life expectancy at birth, female (years)","Life expectancy at birth, male (years)",Lifetime risk of maternal death (%),Lifetime risk of maternal death (1 in: rate varies by country),"Maternal mortality ratio (modeled estimate, per 100,000 live births)","Mortality rate, adult, female (per 1,000 female adults)","Mortality rate, adult, male (per 1,000 male adults)",Number of deaths ages 10-14 years,Number of deaths ages 15-19 years,Number of deaths ages 20-24 years,Number of deaths ages 5-9 years,Poverty gap at $2.15 a day (2017 PPP) (%),Poverty gap at $3.65 a day (2017 PPP) (%),Poverty gap at $6.85 a day (2017 PPP) (%),Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population),"Preprimary education, duration (years)","Prevalence of current tobacco use, females (% of female adults)","Prevalence of current tobacco use, males (% of male adults)","Prevalence of HIV, female (% ages 15-24)","Primary completion rate, female (% of relevant age group)","Primary completion rate, male (% of relevant age group)","Primary education, duration (years)","Primary education, pupils","Primary education, teachers","Primary education, teachers (% female)","Probability of dying among adolescents ages 10-14 years (per 1,000)","Probability of dying among adolescents ages 15-19 years (per 1,000)","Probability of dying among children ages 5-9 years (per 1,000)","Probability of dying among youth ages 20-24 years (per 1,000)",Proportion of seats held by women in national parliaments (%),Proportion of women in ministerial level positions (%),Ratio of female to male labor force participation rate (%) (modeled ILO estimate),Ratio of female to male youth unemployment rate (% ages 15-24) (modeled ILO estimate),"School enrollment, preprimary (% gross)","School enrollment, preprimary, female (% gross)","School enrollment, primary (% gross)","School enrollment, primary (gross), gender parity index (GPI)","School enrollment, primary and secondary (gross), gender parity index (GPI)","School enrollment, primary, female (% gross)","School enrollment, primary, male (% gross)","School enrollment, primary, private (% of total primary)","School enrollment, secondary (% gross)","School enrollment, secondary (gross), gender parity index (GPI)","School enrollment, secondary, female (% gross)","School enrollment, secondary, male (% gross)","School enrollment, tertiary (% gross)","School enrollment, tertiary (gross), gender parity index (GPI)","School enrollment, tertiary, female (% gross)","School enrollment, tertiary, male (% gross)","Secondary education, duration (years)","Secondary education, pupils","Self-employed, female (% of female employment) (modeled ILO estimate)","Self-employed, male (% of male employment) (modeled ILO estimate)","Self-employed, total (% of total employment) (modeled ILO estimate)","Share of youth not in education, employment or training, female (% of female youth population) (modeled ILO estimate)","Share of youth not in education, employment or training, male (% of male youth population)  (modeled ILO estimate)","Share of youth not in education, employment or training, total (% of youth population)  (modeled ILO estimate)","Survival to age 65, female (% of cohort)","Survival to age 65, male (% of cohort)","Unemployment, female (% of female labor force) (modeled ILO estimate)","Unemployment, male (% of male labor force) (modeled ILO estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Unemployment, total (% of total labor force) (national estimate)","Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)","Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","Vulnerable employment, female (% of female employment) (modeled ILO estimate)","Vulnerable employment, male (% of male employment) (modeled ILO estimate)","Vulnerable employment, total (% of total employment) (modeled ILO estimate)","Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",Women Business and the Law Index Score (scale 1-100),Women's share of population ages 15+ living with HIV (%)
ARG,ARG,ARG,ARG,1991,1991,1991,1991,,,70.591,,2.501572399,1.083137877,1.625899640,2.426041519,7.310579442,5.441519447,1.306084355,0.541848505,1.779774887,32.588518902,19.629333599,40.620912796,66.105404357,79.828817896,57.599324650,42.062,72.211,56.669,34.179,50.427,42.381,3.012,46288.954031201,,0.3,0.47,0.23,0.46,38.897,56.852,47.96,44.631,50.881,76.207,81.944,59.929,66.295,5332679,38.392842101,13889774,75.344,68.681,0.189472087,528,67,107.596,195.844,1150,2108,2538,1071,0.6,1.1,4.5,1,3,14.3,,,,0.1,,,7,5043792,,,1.8,3.6,1.6,5,,,58.56548611,107.336283186,48.567008972,,109.312889099,0.984960020,,109.486709595,109.145767212,,73.748077393,,,,38.279701233,,,,5,2263263,25.141137886,32.175577236,29.483862823,,,,81.859793,68.78327,5.755,5.244,5.44,5.44,12.129,11.3,11.633,,22.715096367,24.864997794,24.042335762,74.858862114,67.824410431,70.516137177,59.375,32.802913154
CAN,CAN,CAN,CAN,1991,1991,1991,1991,,,26.014,,0.890044282,0.188361361,0.502312679,2.985796807,9.303533764,6.476812773,3.491259372,2.385007226,4.387019756,23.877090164,11.816062122,33.643074940,72.631650464,85.798947506,61.969918951,52.225,66.825,59.395,57.588,57.12,57.349,1.72,83009.607669156,6.859519958,0.11,0.09,0.07,0.23,66.098,70.084,68.135,57.826,68.534,74.932,83.864,66.227,76.25,6541976,44.430915446,14723928,80.81,74.53,0.013165114,7596,8,69.012,124.704,407,1266,1664,371,1,1.1,1.3,1.2,1.2,1.7,,,,0.1,,,6,2375704,154698,68.707420349,1.1,3.3,1,3.9,,,77.17130198,69.602119148,61.163051605,61.100711823,103.014907837,0.984300017,0.994369984,102.142089844,103.843971252,3.669480085,101.18183136,1.004879951,101.452217102,100.925743103,94.321609497,1.189910054,104.456901550,84.619758606,6,2292497,10.047855196,18.547978585,14.744800743,,,,88.585836,80.035906,9.687,10.819,10.316,10.316,12.875,18.498,15.832,15.845,7.062058389,9.244458467,8.267995510,89.952144804,81.452021415,85.255199257,97.5,22.451989356
COL,COL,COL,COL,1991,1991,1991,1991,,,94.336,,9.308032142,3.419990752,5.693667587,1.784904766,5.147366797,3.848946572,20.240376910,6.681043083,28.770092098,20.072276082,16.599210539,22.257081253,59.687347008,76.719766634,48.972826649,45.723,74.537,59.949,35.792,56.925,46.48,2.982,25879.130564964,,0.15,0.11,0.23,0.36,47.637,67.057,57.458,52.999,55.719,80.748,82.909,66.699,69.248,5722352,40.229973058,14224101,73.365,64.512,0.323190164,309,99,130.499,266.82,1789,5846,8970,1686,3.7,10.4,24.5,12.8,27.3,52.1,,,,0.1,79.067649841,72.448951721,5,4310970,143193,,2.4,8.5,2.1,13.5,,,65.635062169,164.559894110,13.759880066,,109.327987671,1.017310023,1.065230012,110.215980530,108.469512939,15.349579811,55.362888336,1.170429945,60.340061188,50.546569824,15.398980141,1.068910003,15.955599785,14.856140137,6,2377947,48.021933281,49.147143040,48.712641447,,,,77.578486,62.344533,13.728,7.691,10.12,10.12,24.865,15.11,19.107,16.12,46.237028514,43.999776243,44.863694875,51.978066719,50.852856960,51.287358553,59.375,44.326990839
CRI,CRI,CRI,CRI,1991,1991,1991,1991,,,89.565,,4.878815220,4.246809789,4.431429540,0.483805731,1.417186760,1.144439082,18.699018520,3.830932454,24.834535293,26.325370793,25.146386236,26.811766322,54.975610687,71.022681310,48.353569993,30.968,76.358,53.466,31.27,63.496,47.583,3.075,31781.131887400,,0.04,0.1,0.06,0.19,36.035,70.566,53.514,33.325,35.469,80.081,83.172,56.5,59.268,345876,29.747272547,1162715,78.641,73.863,0.128596831,778,39,75.035,127.289,101,162,217,108,5.7,11,23.8,12.4,24.5,51.4,,,,0.1,79.986412048,77.242080688,6,453297,14078,79.734336853,1.5,2.8,1.4,3.8,,,41.614115708,131.992413655,32.097301483,32.291088104,101.657752991,0.986360013,1.000570059,101.131141663,102.161117554,4.72273016,44.881149292,1.052979946,46.052928925,43.749961853,28.47454071,,,,5,139303,23.269966709,28.483425283,26.960483587,,,,87.13833,79.963719,7.073,4.649,5.37,,13.223,10.018,11.084,,22.786160978,27.066366915,25.815953619,76.730033291,71.516574717,73.039516413,65.625,26.628489621
DEU,DEU,DEU,DEU,1991,1991,1991,1991,,,19.335,,2.947902693,0.390198735,1.449528076,1.497982955,5.342259899,3.750070854,3.706083794,3.622741040,3.765001255,39.081425684,23.475527876,50.114568923,57.212493158,72.901724721,46.120429821,44.776,69.154,56.43,55.129,59.085,57.157,1.33,93565.147906033,,,,,,58.561,62.327,60.492,47.909,61.385,72.362,82.142,59.598,71.937,16755853,41.959123102,39933754,78.7,72.1,0.013924161,7182,11,76.351,157.727,767,2435,4551,826,0,0,0.1,0,0,0.2,,,,,,,4,3431385,,,0.9,2.8,1,3.6,,,66.207401675,112.670640261,,,99.352760315,,,,,,98.682357788,,,,34.185321808,,,,9,7398011,7.878327148,10.934992982,9.669007909,,,,87.507233,75.408872,6.538,4.433,5.316,5.316,5.86,5.201,5.512,5.514,6.380344193,5.592733084,5.918939689,92.121672852,89.065007018,90.330992091,71.25,17.407725322
EAS,EAS,EAS,EAS,1991,1991,1991,1991,,,28.241244863,,39.747315890,17.062805407,27.119295287,1.852231767,4.435853826,3.290482617,52.952092947,50.570391675,54.848727739,21.415556937,22.343788555,20.676390811,25.632350327,27.085820952,24.474881642,64.439284568,80.636097434,72.551524298,65.672322001,66.562764669,66.127491502,2.221996741,11798.391286709,,,,,,68.712356728,70.292262378,69.519927433,65.946427577,71.347382221,82.777256585,86.259191413,74.376817092,78.906938068,427569334,44.255698683,966133956,71.282345088,66.174337132,0.367744750,272,156,124.856184745,194.569876654,97613,193119,178870,193871,24.1,46,67.8,63.9,86.4,96,,,,,,,6,207810880,8888598,49.442798615,3,5.2,5.4,4.6,,,80.37101422,87.344641480,23.509969711,23.393369675,112.339111328,0.939369977,0.905430019,109.122650146,115.375366211,3.612709999,47.958469391,0.837499976,43.588001251,52.121841431,7.465010166,0.685559988,6.048950195,8.823399544,6,98044768,64.244194297,65.192270454,64.772004354,,,,77.132014197,67.430380444,2.286267522,2.586107059,2.453481829,2.600208672,4.839295093,5.435651467,5.105036266,,62.391960373,60.756418539,61.481522475,35.755808568,34.807728969,35.227995534,53.7,
ECS,ECS,ECS,ECS,1991,1991,1991,1991,,,37.445900835,,7.255326104,2.782887149,4.711055636,1.522362009,4.739716935,3.352681617,15.631912167,15.349961408,15.845633395,31.547579018,21.226298072,39.369508168,52.820507738,63.423739791,44.784857832,45.381135315,66.283693683,55.301975774,38.853304426,47.330520446,43.160165345,1.900561602,65426.129453114,,,,,,45.632970023,55.020845282,50.402473525,49.114604788,59.244597953,70.770386843,78.766499457,59.393053701,68.904095034,169339420,43.446413502,389766163,76.130002409,68.347514738,0.060356946,1657,34,94.372984753,219.124113063,22426,54779,72952,30525,1.4,4.3,13.3,4.2,13,34.3,,,,,,,4,57082380,3119598.75,80.133537292,1.8,4.3,2.4,5.6,,,70.003346392,110.113028560,65.197097778,63.753459930,104.028236389,0.986630023,0.989700019,103.208961487,104.816169739,6.166049957,90.570907593,0.992030025,90.117347717,91.008346558,32.803150177,1.038939953,33.467460632,32.16437149,7,81216424,16.714964570,21.363669058,19.359525145,,,,83.867124135,67.383800067,7.601554046,6.339731249,6.887755315,,15.755067833,14.131471851,14.865287225,,15.192602575,16.623953050,16.006845176,83.285032409,78.636331908,80.640474860,60.896739130,
FIN,FIN,FIN,FIN,1991,1991,1991,1991,,,11.702,,1.009018297,1.587499341,1.310796755,1.215036358,5.795035451,3.603972505,8.890773602,6.563495097,11.025206084,28.831488448,15.784588351,40.797726804,62.277737950,77.651829477,48.176987249,54.496,64.491,59.289,46.039,51.063,48.605,1.79,75827.604748260,6.337480068,,,,,53.016,61.094,57.142,57.383,71.968,69.957,79.303,63.413,75.667,1209239,47.097916261,2567500,79.32,71.33,0.012279739,8143,8,68.373,175.568,57,201,310,60,0,0,0.1,0,0,0.2,,,,,99.208869934,99.573173523,6,390587,,,0.9,3.3,0.9,4.6,,,82.026101748,80.152253350,33.580909729,,99.917373657,0.994040012,1.094009995,99.659126282,100.1640625,0.894039989,113.8644104,1.194519997,124.421188354,103.810142517,50.025360107,1.117249966,53.202888489,46.964771271,6,426864,9.592988072,21.587131975,15.849156107,,,,88.937109,73.577553,5.031,7.814,6.503,6.503,13.161,16.42,14.941,14.946,8.377864639,15.792096525,12.245225258,90.406924854,78.412868025,84.150843893,82.5,23.796033994
GBR,GBR,GBR,GBR,1991,1991,1991,1991,,,34.115,,1.156675870,0.388398437,0.729711119,1.339436231,4.145511137,2.898906390,2.168082537,1.168319053,2.967263746,30.313526194,16.474317634,41.376265881,67.518391269,82.357354765,55.656463540,48.002,66.251,56.678,57.932,62.736,60.324,1.82,73934.314130491,4.122479916,,,,,65.418,74.655,70.018,51.844,66.002,73.158,86.079,61.977,75.913,12605552,43.879077551,28727933,78.9,73.4,0.011567937,8645,7,75.839,126.785,675,1876,2727,621,0,0.1,0.2,0,0.2,0.7,,,,,,,6,4532500,229100,78.044517517,0.9,2.5,0.8,3.1,,,70.865797315,71.677314293,51.879489899,51.945381165,103.510917664,1.006760001,1.021970034,103.865837097,103.172119141,4.809710026,89.262176514,1.037780046,90.896469116,87.705513000,29.370189667,0.956789970,28.713449478,30.010080338,7,4335600,8.171351751,18.638594355,13.988495763,,,,86.824093,78.739312,7.411,9.441,8.55,8.55,11.444,15.966,13.845,13.881,6.831906972,14.493083218,11.089593170,91.828656797,81.361405645,86.011504237,78.125,25.728497717
GHA,GHA,GHA,GHA,1991,1991,1991,1991,,,110.001,,0.412656269,0.236004204,0.324665950,0.226679445,0.259099321,0.242812330,63.436076276,58.833683802,68.073588175,9.766058619,9.502661976,10.031465160,26.797865104,31.663623456,21.894977664,73.785,75.921,74.834,57.627,54.219,55.915,5.63,6971.580142502,,5.3,1.63,4.98,2.97,61.1,57.234,59.158,76.475,77.636,78.642,78.806,77.539,78.211,3368904,50.204841291,6710317,57.072,54.382,3.928474536,25,745,282.817,324.602,3362,3932,5121,7427,26.2,47.5,68.9,64.2,87,96.9,,,,1.6,49.924190521,63.248779297,6,1945422,66946,35.754188538,8.3,11.5,15.6,17.2,,,97.244474962,107.896735004,,,68.543807983,0.855319977,,62.988788605,73.922088623,7.313270092,,,,,1.01888001,0.283279985,0.454140007,1.603129983,7,,92.662422067,77.425219869,85.072793515,,,,54.29269,49.181848,3.517,3.46,3.489,3.489,5.684,5.268,5.482,5.63,92.435773388,77.166151547,84.829965744,7.337547167,22.574780131,14.927221926,57.5,61.767664591
